Vin,Iin,Vout,Iout,fs,D,R,P_loss,P_mosfet,P_capacitor,P_diode,P_inductor
20.08075834556906,5.123611171275583,41.536956375296846,2.0768478187648425,152023.41575449766,0.5204615552177562,20,16.62006054087736,6.930116248418415,0.8279987992514756,5.618425884428417,3.2435196087790525
24.082367464376823,4.842793587098923,44.220954852639636,2.211047742631982,186889.50175577705,0.45980960546772615,20,18.851292314684173,8.78502716668316,1.8539196014297894,4.81705932937991,3.395286217191314
22.100097971097586,9.450628630813748,41.350314905756896,4.13503149057569,167413.0207625252,0.4703857826936163,10,37.87496434891756,18.27904873602509,1.8500839637997526,10.545839667438594,7.199991981654127
24.96025765896683,16.26439037698202,57.6374462582993,5.76374462582993,163558.15685591442,0.5708776330342189,10,73.75585335765788,29.510325976203557,6.953421288211759,22.68512122377337,14.606984869469196
22.250329650465396,14.072732782426437,72.32637246380823,3.6163186231904114,104638.59597697227,0.6948953712052757,20,51.56773580322346,24.321118417964104,2.521877116871656,14.940986219075013,9.783754049312686
23.88898252962111,3.6682349292456986,38.30784436538087,1.9153922182690437,177489.60958300985,0.38146695449002266,20,14.255853143184268,5.979540217579164,1.6258551755778798,4.086667904090019,2.5637898459372073
15.78276275518059,15.448313569882862,44.628880372419275,4.462888037241927,172191.27597357918,0.6495930455433149,10,44.643371711527124,20.160774401149165,4.066290171870164,12.78515248771404,7.631154650793754
24.448217522096808,5.276701253747537,46.511520962844195,2.3255760481422096,139768.7965514405,0.47860774105175297,20,20.83986093688597,8.920808048750171,1.0400402918630396,7.171135832620246,3.7078767636525147
23.057991456415863,9.866204575088046,61.71452692732105,3.0857263463660525,108298.20908193936,0.6294199096907795,20,37.060719106479496,16.94444139424061,1.7528891705050198,11.626616577438808,6.736771964295059
22.279015793346897,11.541994857603614,31.982685467643137,6.396537093528627,160520.4342491487,0.310523808600429,5,52.56585177484132,23.909155860995718,2.4310977789177386,16.647524353935488,9.578073780992375
18.701326102928363,11.210966721633955,28.9025579365134,5.78051158730268,161807.9256290666,0.35952432097747916,5,42.58837353565153,20.425121491643143,2.101480936412035,13.189459517172306,6.872311590424037
21.02178876220371,7.6263102767823625,36.219286064178284,3.6219286064178284,176499.2099388611,0.4248707092585571,10,29.135015373664203,12.199769100730904,4.32106427773518,7.908056655511428,4.706125339686688
19.979153825880992,4.97844451420209,40.84099151927317,2.0420495759636585,112607.59170031502,0.5147571181556994,20,16.06577934898978,7.063303851954893,1.7345545337047428,4.197895814576721,3.070025148753423
20.586214273089187,11.954357307592778,44.88247887183865,4.488247887183865,184851.12714817963,0.5454917490057984,10,44.65127006307014,18.78259866481585,2.6511288987390227,14.546686844731882,8.670855654783388
